"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2024","81.71","82.94","82.94","81.59","14.38K","-1.40%"
"01/30/2024","82.87","82.62","83.30","81.34","89.31K","0.57%"
"01/29/2024","82.40","84.13","84.80","82.03","129.91K","-1.38%"
"01/26/2024","83.55","82.44","83.81","81.31","240.25K","1.36%"
"01/25/2024","82.43","80.31","82.57","80.06","248.18K","2.99%"
"01/24/2024","80.04","79.56","80.73","79.05","230.75K","0.62%"
"01/23/2024","79.55","79.92","80.43","78.70","331.10K","-0.64%"
"01/22/2024","80.06","78.89","80.55","77.81","319.71K","1.91%"
"01/19/2024","78.56","79.10","79.73","78.32","282.31K","-0.68%"
"01/18/2024","79.10","78.15","79.30","77.33","325.29K","1.57%"
"01/17/2024","77.88","77.77","78.19","76.50","355.40K","-0.52%"
"01/16/2024","78.29","78.43","79.40","77.60","298.55K","0.18%"
"01/15/2024","78.15","78.14","78.90","76.85","177.69K","-0.18%"
"01/12/2024","78.29","78.75","80.75","77.96","401.34K","1.14%"
"01/11/2024","77.41","76.70","79.10","76.66","396.77K","0.79%"
"01/10/2024","76.80","77.48","78.73","76.38","353.70K","-1.02%"
"01/09/2024","77.59","76.30","78.19","75.95","346.79K","1.93%"
"01/08/2024","76.12","78.70","78.95","75.26","342.63K","-3.35%"
"01/05/2024","78.76","77.71","79.26","77.66","291.00K","1.51%"
"01/04/2024","77.59","78.56","79.41","76.50","356.65K","-0.84%"
"01/03/2024","78.25","76.06","78.67","74.79","361.77K","3.11%"
"01/02/2024","75.89","77.39","79.06","75.60","338.35K","-1.49%"
