"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","77.04","77.38","77.98","76.73","192.95K","-1.72%"
"12/28/2023","78.39","79.80","79.95","78.25","18.78K","-1.58%"
"12/27/2023","79.65","80.79","81.33","79.29","70.39K","-1.75%"
"12/26/2023","81.07","79.04","81.72","78.76","59.74K","2.53%"
"12/22/2023","79.07","79.35","80.37","78.88","119.19K","-0.40%"
"12/21/2023","79.39","79.00","80.13","77.81","193.32K","-0.39%"
"12/20/2023","79.70","79.17","80.60","79.07","241.81K","0.59%"
"12/19/2023","79.23","78.06","79.67","77.41","214.68K","1.64%"
"12/18/2023","77.95","76.80","79.51","75.76","279.47K","1.83%"
"12/15/2023","76.55","76.66","77.23","75.29","223.09K","-0.08%"
"12/14/2023","76.61","74.76","77.35","74.44","257.52K","3.16%"
"12/13/2023","74.26","73.26","74.70","72.29","260.18K","1.39%"
"12/12/2023","73.24","76.17","76.66","72.86","310.09K","-3.67%"
"12/11/2023","76.03","75.73","76.50","75.01","212.76K","0.25%"
"12/08/2023","75.84","74.59","76.36","74.20","228.45K","2.42%"
"12/07/2023","74.05","74.50","75.48","73.60","297.94K","-0.34%"
"12/06/2023","74.30","77.12","77.65","74.11","385.40K","-3.76%"
"12/05/2023","77.20","78.10","79.09","77.00","352.89K","-1.06%"
"12/04/2023","78.03","79.50","79.72","77.52","388.38K","-1.08%"
"12/01/2023","78.88","80.67","81.54","78.75","350.25K","-4.77%"
"11/30/2023","82.83","82.78","84.75","82.58","15.08K","-0.32%"
"11/29/2023","83.10","81.91","83.25","80.96","98.24K","1.74%"
"11/28/2023","81.68","80.19","82.16","79.80","112.50K","2.13%"
"11/27/2023","79.98","80.40","81.17","79.13","157.36K","-0.74%"
"11/24/2023","80.58","81.40","82.20","80.13","114.14K","-1.03%"
"11/23/2023","81.42","81.60","81.63","80.19","108.32K","-0.66%"
"11/22/2023","81.96","82.47","82.65","78.41","367.18K","-0.59%"
"11/21/2023","82.45","82.13","82.54","81.43","238.51K","0.16%"
"11/20/2023","82.32","80.30","82.94","79.58","248.33K","2.12%"
"11/17/2023","80.61","77.55","80.81","77.28","340.03K","4.12%"
"11/16/2023","77.42","80.98","81.17","76.60","441.64K","-4.63%"
"11/15/2023","81.18","82.39","83.04","80.79","299.42K","-1.56%"
"11/14/2023","82.47","82.71","83.97","82.06","248.94K","-0.06%"
"11/13/2023","82.52","81.43","82.84","80.41","243.30K","1.34%"
"11/10/2023","81.43","79.85","82.06","79.79","249.55K","1.77%"
"11/09/2023","80.01","79.70","81.48","79.44","306.11K","0.59%"
"11/08/2023","79.54","81.40","81.96","79.20","420.70K","-2.54%"
"11/07/2023","81.61","85.15","85.19","81.40","402.76K","-4.19%"
"11/06/2023","85.18","85.55","86.46","84.88","239.23K","0.34%"
"11/03/2023","84.89","86.92","87.80","84.56","354.85K","-2.26%"
"11/02/2023","86.85","85.00","87.05","84.64","301.87K","2.62%"
"11/01/2023","84.63","85.45","87.24","84.58","321.66K","-3.18%"
"10/31/2023","87.41","87.90","88.61","87.40","13.68K","-0.05%"
"10/30/2023","87.45","90.07","90.15","87.20","99.04K","-3.35%"
"10/27/2023","90.48","88.40","90.75","87.83","109.14K","2.90%"
"10/26/2023","87.93","89.92","90.40","87.53","198.64K","-2.44%"
"10/25/2023","90.13","88.04","90.35","86.68","290.91K","2.34%"
"10/24/2023","88.07","90.47","90.68","87.35","304.12K","-1.96%"
"10/23/2023","89.83","92.11","92.45","89.62","282.44K","-2.53%"
"10/20/2023","92.16","93.23","93.79","91.66","272.72K","-0.24%"
"10/19/2023","92.38","91.35","93.48","89.57","309.00K","0.96%"
"10/18/2023","91.50","91.25","93.00","90.60","348.19K","1.78%"
"10/17/2023","89.90","89.91","91.00","88.88","252.83K","0.28%"
"10/16/2023","89.65","90.98","91.39","89.50","283.25K","-1.36%"
"10/13/2023","90.89","86.35","91.00","86.28","424.71K","5.69%"
"10/12/2023","86.00","85.53","87.64","85.18","370.44K","0.21%"
"10/11/2023","85.82","87.72","88.26","85.21","402.31K","-2.09%"
"10/10/2023","87.65","88.17","88.49","86.91","352.11K","-0.57%"
"10/09/2023","88.15","86.45","89.00","86.00","412.76K","4.22%"
"10/06/2023","84.58","84.49","84.95","83.44","424.46K","0.61%"
"10/05/2023","84.07","85.88","86.52","83.84","510.68K","-2.03%"
"10/04/2023","85.81","91.04","91.21","85.75","525.56K","-5.62%"
"10/03/2023","90.92","90.40","91.56","89.50","437.64K","0.23%"
"10/02/2023","90.71","92.18","93.33","90.35","423.48K","-4.83%"
"09/29/2023","95.31","95.07","96.26","94.90","12.84K","-0.07%"
"09/28/2023","95.38","96.74","97.69","94.76","91.45K","-1.21%"
"09/27/2023","96.55","94.12","97.06","94.10","146.72K","2.76%"
"09/26/2023","93.96","93.28","94.21","91.80","169.45K","0.72%"
"09/25/2023","93.29","93.75","94.25","92.54","177.62K","0.02%"
"09/22/2023","93.27","93.37","94.64","92.80","240.04K","-0.03%"
"09/21/2023","93.30","93.08","94.60","92.20","314.69K","-0.25%"
"09/20/2023","93.53","94.49","94.72","92.76","330.59K","-0.86%"
"09/19/2023","94.34","94.66","95.96","94.16","403.40K","-0.10%"
"09/18/2023","94.43","94.28","94.95","93.79","337.78K","0.53%"
"09/15/2023","93.93","94.02","94.63","92.67","316.90K","0.25%"
"09/14/2023","93.70","92.04","94.21","92.02","310.00K","1.98%"
"09/13/2023","91.88","92.04","92.84","91.63","302.75K","-0.20%"
"09/12/2023","92.06","90.62","92.40","90.52","336.57K","1.57%"
"09/11/2023","90.64","90.83","91.45","90.11","303.42K","-0.01%"
"09/08/2023","90.65","89.79","91.02","89.30","298.14K","0.81%"
"09/07/2023","89.92","90.81","90.89","89.46","213.02K","-0.75%"
"09/06/2023","90.60","90.12","91.10","89.25","282.91K","0.62%"
"09/05/2023","90.04","88.91","91.15","88.06","428.45K","1.17%"
"09/04/2023","89.00","88.95","89.22","88.26","140.67K","0.51%"
"09/01/2023","88.55","86.82","88.99","86.74","380.76K","1.95%"
