"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2024","75.85","77.84","78.11","75.52","344.49K","-2.53%"
"01/30/2024","77.82","77.02","78.14","75.85","347.24K","1.35%"
"01/29/2024","76.78","78.90","79.29","76.41","331.93K","-1.58%"
"01/26/2024","78.01","77.15","78.26","76.06","365.46K","0.84%"
"01/25/2024","77.36","75.30","77.51","75.16","320.18K","3.02%"
"01/24/2024","75.09","74.57","75.83","73.94","323.73K","0.97%"
"01/23/2024","74.37","74.68","75.25","73.41","306.06K","-1.09%"
"01/22/2024","75.19","73.41","75.75","72.89","28.91K","2.42%"
"01/19/2024","73.41","74.08","74.91","73.20","78.23K","-0.90%"
"01/18/2024","74.08","72.78","74.38","72.18","86.65K","2.09%"
"01/17/2024","72.56","72.00","72.95","70.50","315.68K","0.22%"
"01/16/2024","72.40","72.63","73.56","71.23","430.44K","-0.54%"
"01/15/2024","72.79","72.69","73.09","71.41","","0.18%"
"01/14/2024","72.66","72.74","72.74","72.19","","-0.03%"
"01/12/2024","72.68","73.01","75.25","72.36","403.64K","0.92%"
"01/11/2024","72.02","71.33","73.81","71.17","373.65K","0.91%"
"01/10/2024","71.37","72.17","73.59","71.01","352.77K","-1.20%"
"01/09/2024","72.24","70.91","72.93","70.47","363.45K","2.08%"
"01/08/2024","70.77","73.51","73.95","70.13","392.25K","-4.12%"
"01/05/2024","73.81","72.40","74.24","72.21","325.53K","2.24%"
"01/04/2024","72.19","73.04","74.00","71.06","344.47K","-0.70%"
"01/03/2024","72.70","70.50","73.23","69.28","334.86K","3.30%"
"01/02/2024","70.38","71.71","73.64","70.06","330.99K","-2.21%"
"01/01/2024","71.97","71.67","72.24","71.67","","0.45%"
